"","id","release_year_tv","age_rating_tv","rotten_tomatoes_tv","tomato_category_tv","netflix_tv","hulu_tv","prime_video_tv","disney_tv","all_platforms_tv"
"320",1276,2021,"16+",47,"rotten","netflix_show","","","","netflix_show"
"321",1277,2020,"unknown",47,"rotten","netflix_show","","","","netflix_show"
"322",1278,2020,"unknown",47,"rotten","netflix_show","","","","netflix_show"
"323",1284,2020,"18+",47,"rotten","netflix_show","","","","netflix_show"
"324",1285,2020,"7+",47,"rotten","netflix_show","","","","netflix_show"
"325",1289,2020,"16+",47,"rotten","netflix_show","","","","netflix_show"
"326",1296,2020,"unknown",47,"rotten","netflix_show","","","","netflix_show"
"327",1298,2020,"unknown",47,"rotten","netflix_show","","","","netflix_show"
"328",1300,2020,"unknown",46,"rotten","netflix_show","","prime_video_show","","multi_platform_show"
"329",1301,2021,"unknown",46,"rotten","netflix_show","","","","netflix_show"
"330",1304,2020,"16+",46,"rotten","netflix_show","","","","netflix_show"
"331",1307,2021,"18+",46,"rotten","netflix_show","","","","netflix_show"
"332",1308,2020,"unknown",46,"rotten","netflix_show","","","","netflix_show"
"333",1309,2020,"7+",46,"rotten","netflix_show","","","","netflix_show"
"334",1311,2020,"unknown",46,"rotten","netflix_show","","","","netflix_show"
"335",1313,2021,"unknown",46,"rotten","netflix_show","","","","netflix_show"
"336",1316,2021,"all",46,"rotten","netflix_show","","","","netflix_show"
"337",1322,2021,"18+",46,"rotten","netflix_show","","","","netflix_show"
"338",1327,2020,"unknown",46,"rotten","netflix_show","","","","netflix_show"
"339",1333,2020,"unknown",46,"rotten","netflix_show","","","","netflix_show"
"340",1341,2020,"unknown",46,"rotten","netflix_show","","","","netflix_show"
"341",1342,2020,"18+",46,"rotten","netflix_show","","","","netflix_show"
"342",1343,2020,"unknown",46,"rotten","netflix_show","","","","netflix_show"
"343",1347,2021,"unknown",45,"rotten","netflix_show","","","","netflix_show"
"344",1349,2020,"unknown",45,"rotten","netflix_show","","","","netflix_show"
"345",1350,2021,"unknown",45,"rotten","netflix_show","","","","netflix_show"
"346",1355,2020,"unknown",45,"rotten","netflix_show","","","","netflix_show"
"347",1357,2021,"16+",45,"rotten","netflix_show","","","","netflix_show"
"348",1361,2020,"unknown",45,"rotten","netflix_show","","","","netflix_show"
"349",1370,2020,"unknown",45,"rotten","netflix_show","","","","netflix_show"
"350",1372,2020,"unknown",45,"rotten","netflix_show","","","","netflix_show"
"351",1376,2020,"unknown",45,"rotten","netflix_show","","","","netflix_show"
"352",1387,2020,"18+",45,"rotten","netflix_show","","","","netflix_show"
"353",1392,2020,"all",45,"rotten","netflix_show","","","","netflix_show"
"354",1401,2020,"unknown",45,"rotten","netflix_show","","","","netflix_show"
"355",1406,2020,"unknown",44,"rotten","netflix_show","","","","netflix_show"
"356",1411,2020,"all",44,"rotten","netflix_show","","","","netflix_show"
"357",1412,2020,"all",44,"rotten","netflix_show","","","","netflix_show"
"358",1413,2021,"all",44,"rotten","netflix_show","","","","netflix_show"
"359",1415,2020,"unknown",44,"rotten","netflix_show","","","","netflix_show"
"360",1424,2020,"7+",44,"rotten","netflix_show","","","","netflix_show"
"361",1430,2020,"unknown",44,"rotten","netflix_show","","","","netflix_show"
"362",1431,2020,"unknown",44,"rotten","netflix_show","","","","netflix_show"
"363",1432,2020,"unknown",44,"rotten","netflix_show","","","","netflix_show"
"364",1434,2020,"unknown",44,"rotten","netflix_show","","","","netflix_show"
"365",1435,2021,"16+",44,"rotten","netflix_show","","","","netflix_show"
"366",1448,2020,"all",44,"rotten","netflix_show","","","","netflix_show"
"367",1449,2020,"18+",44,"rotten","netflix_show","","","","netflix_show"
"368",1454,2020,"16+",44,"rotten","netflix_show","","","","netflix_show"
"369",1467,2020,"16+",43,"rotten","netflix_show","","","","netflix_show"
"370",1476,2020,"unknown",43,"rotten","netflix_show","","","","netflix_show"
"371",1477,2021,"unknown",43,"rotten","netflix_show","","","","netflix_show"
"372",1479,2020,"unknown",43,"rotten","netflix_show","","","","netflix_show"
"373",1481,2021,"unknown",43,"rotten","netflix_show","","","","netflix_show"
"374",1490,2020,"all",43,"rotten","netflix_show","","","","netflix_show"
